bu/R1/s-EB/(LR[1-8],[M,A],1)/b
bu/R2/s-EB/(LR[1-8],[M,A],1)/b
bu/R3/s-EB/(LR[1-8],[M,A],1)/b
bu/R4/s-EB/(LR[1-8],[M,A],1)/b
bu/R5/s-EB/(LR[1-8],[M,A],1)/b
bu/R6/s-EB/(LR[1-8],[M,A],1)/b
bu/R7/s-EB/(LR[1-8],[M,A],1)/b
bu/R8/s-EB/(LR[1-8],[M,A],1)/b
bu/R9/s-EB/(LR[1-8],[M,A],1)/b
bu/R10/s-EB/(LR[1-8],[M,A],1)/b
bu/R11/s-EB/(LR[1-8],[M,A],1)/b
bu/R12/s-EB/(LR[1-8],[M,A],1)/b
bu/R13/s-EB/(LR[1-8],[M,A],1)/b
bu/R14/s-EB/(LR[1-8],[M,A],1)/b
bu/R15/s-EB/(LR[1-8],[M,A],1)/b
bu/R16/s-EB/(LR[1-8],[M,A],1)/b
bu/R33/s-EB/(LR[1-8],A,[3,4])/b
bu/R34/s-EB/(LR[1-8],A,[3,4])/b
bu/R35/s-EB/(LR[1-8],A,[3,4])/b
bu/R36/s-EB/(LR[1-8],A,[3,4])/b
bu/R37/s-EB/(LR[1-8],A,[3,4])/b
bu/R38/s-EB/(LR[1-8],A,[3,4])/b
bu/R39/s-EB/(LR[1-8],A,[3,4])/b
bu/R40/s-EB/(LR[1-8],A,[3,4])/b
bu/R41/s-EB/(LR[1-8],A,[3,4])/b
bu/R42/s-EB/(LR[1-8],A,[3,4])/b
bu/R43/s-EB/(LR[1-8],A,[3,4])/b
bu/R44/s-EB/(LR[1-8],A,[3,4])/b
bu/R45/s-EB/(LR[1-8],A,[3,4])/b
bu/R46/s-EB/(LR[1-8],A,[3,4])/b
bu/R47/s-EB/(LR[1-8],A,[3,4])/b
bu/R48/s-EB/(LR[1-8],A,[3,4])/b
bu/R17/s-EB/(LR[1-8],A,[1,2])/b
bu/R18/s-EB/(LR[1-8],A,[1,2])/b
bu/R19/s-EB/(LR[1-8],A,[1,2])/b
bu/R20/s-EB/(LR[1-8],A,[1,2])/b
bu/R21/s-EB/(LR[1-8],A,[1,2])/b
bu/R22/s-EB/(LR[1-8],A,[1,2])/b
bu/R23/s-EB/(LR[1-8],A,[1,2])/b
bu/R24/s-EB/(LR[1-8],A,[1,2])/b
bu/R25/s-EB/(LR[1-8],A,[1,2])/b
bu/R26/s-EB/(LR[1-8],A,[1,2])/b
bu/R27/s-EB/(LR[1-8],A,[1,2])/b
bu/R28/s-EB/(LR[1-8],A,[1,2])/b
bu/R29/s-EB/(LR[1-8],A,[1,2])/b
bu/R30/s-EB/(LR[1-8],A,[1,2])/b
bu/R31/s-EB/(LR[1-8],A,[1,2])/b
bu/R32/s-EB/(LR[1-8],A,[1,2])/b
bu/R49/s-EB/(LR[1-8],A,4)/b
bu/R50/s-EB/(LR[1-8],A,4)/b
bu/R51/s-EB/(LR[1-8],A,4)/b
bu/R52/s-EB/(LR[1-8],A,4)/b
bu/R53/s-EB/(LR[1-8],A,4)/b
bu/R54/s-EB/(LR[1-8],A,4)/b
bu/R55/s-EB/(LR[1-8],A,4)/b
bu/R56/s-EB/(LR[1-8],A,4)/b
bu/R57/s-EB/(LR[1-8],A,4)/b
bu/R58/s-EB/(LR[1-8],A,4)/b
bu/R59/s-EB/(LR[1-8],A,4)/b
bu/R60/s-EB/(LR[1-8],A,4)/b
bu/R61/s-EB/(LR[1-8],A,4)/b
bu/R62/s-EB/(LR[1-8],A,4)/b
bu/R63/s-EB/(LR[1-8],A,4)/b
bu/R64/s-EB/(LR[1-8],A,4)/b
bu/R65/s-EB/(LR[1-8],M,4)/b
bu/R66/s-EB/(LR[1-8],M,4)/b
bu/R67/s-EB/(LR[1-8],M,4)/b
bu/R68/s-EB/(LR[1-8],M,4)/b
bu/R69/s-EB/(LR[1-8],M,4)/b
bu/R70/s-EB/(LR[1-8],M,4)/b
bu/R71/s-EB/(LR[1-8],M,4)/b
bu/R72/s-EB/(LR[1-8],M,4)/b
bu/R73/s-EB/(LR[1-8],M,4)/b
bu/R74/s-EB/(LR[1-8],M,4)/b
bu/R75/s-EB/(LR[1-8],M,4)/b
bu/R76/s-EB/(LR[1-8],M,4)/b
bu/R77/s-EB/(LR[1-8],M,4)/b
bu/R78/s-EB/(LR[1-8],M,4)/b
bu/R79/s-EB/(LR[1-8],M,4)/b
bu/R80/s-EB/(LR[1-8],M,4)/b
